W,I,web_name        ,team,T,px ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn   ,gf ,030620
o,T,Alexander-Arnold,LIV ,D,5.5,67 ,0.73 ,0.78 ,6.0,6.3 ,7.0 ,18.8,82246 ,7  ,      
 ,J,Matip           ,LIV ,D,4.9,36 ,0.37 ,0.65 ,3.8,5.2 ,6.5 ,0.8 ,5065  ,10 ,      
m,A,Robertson       ,LIV ,D,6.9,96 ,0.61 ,0.61 ,6.2,6.2 ,8.8 ,38.7,6878  ,0  ,      
m,V,van Dijk        ,LIV ,D,6.6,102,0.55 ,0.58 ,5.6,5.8 ,10.3,29.9,29702 ,2  ,      
 ,J,Schlupp         ,CRY ,D,4.5,51 ,0.22 ,0.56 ,3.0,4.5 ,4.3 ,3.4 ,19956 ,9  ,      
 ,N,Otamendi        ,MCI ,D,6.0,42 ,0.38 ,0.55 ,4.3,5.3 ,5.5 ,2.9 ,9239  ,5  ,      
m,F,Schär           ,NEW ,D,4.7,55 ,0.4  ,0.53 ,3.9,4.5 ,6.3 ,2.8 ,4157  ,2  ,      
m,M,Alonso          ,CHE ,D,6.4,92 ,0.5  ,0.5  ,5.2,5.2 ,2.7 ,27.3,-20457,-1 ,      
m,D,David Luiz      ,CHE ,D,5.9,93 ,0.46 ,0.46 ,4.7,4.7 ,1.3 ,12.7,-4256 ,-1 ,      
m,S,Duffy           ,BHA ,D,4.7,87 ,0.4  ,0.45 ,3.9,4.1 ,5.7 ,6.3 ,12738 ,3  ,      
 ,J,Holebas         ,WAT ,D,4.8,82 ,0.42 ,0.44 ,4.0,4.1 ,2.3 ,10.7,-5522 ,-1 ,      
 ,K,Trippier        ,TOT ,D,6.1,76 ,0.38 ,0.43 ,4.3,4.6 ,1.3 ,17.0,-7050 ,-1 ,      
 ,L,Digne           ,EVE ,D,5.2,86 ,0.35 ,0.42 ,3.8,4.2 ,3.8 ,7.5 ,4524  ,1  ,      
 ,K,Walker          ,MCI ,D,6.4,79 ,0.36 ,0.41 ,4.3,4.6 ,4.8 ,11.3,7864  ,1  ,      
 ,A,Laporte         ,MCI ,D,5.9,93 ,0.37 ,0.39 ,4.2,4.3 ,5.3 ,7.6 ,-51730,-11,      
o,R,Pereira         ,LEI ,D,5.4,92 ,0.37 ,0.37 ,4.0,4.0 ,1.5 ,14.1,-7463 ,-1 ,      
o,M,Doherty         ,WOL ,D,5.5,97 ,0.33 ,0.36 ,3.8,4.0 ,2.3 ,25.5,-47276,-3 ,      
 ,M,Keane           ,EVE ,D,4.8,93 ,0.35 ,0.35 ,3.7,3.7 ,3.8 ,3.7 ,3169  ,1  ,      
 ,W,Boly            ,WOL ,D,4.6,94 ,0.28 ,0.35 ,3.3,3.6 ,5.3 ,4.4 ,2732  ,1  ,      
 ,S,Bamba           ,CAR ,D,4.7,98 ,0.3  ,0.34 ,3.4,3.6 ,3.3 ,4.2 ,-40624,-15,      
 ,C,Azpilicueta     ,CHE ,D,6.3,100,0.33 ,0.33 ,4.1,4.1 ,5.7 ,8.5 ,11698 ,2  ,      
o,A,Wan-Bissaka     ,CRY ,D,4.5,92 ,0.31 ,0.31 ,3.4,3.4 ,1.5 ,26.1,37457 ,2  ,      
 ,P,van Aanholt     ,CRY ,D,5.4,102,0.28 ,0.3  ,3.5,3.6 ,2.0 ,4.9 ,2007  ,1  ,      
 ,A,Rüdiger         ,CHE ,D,5.9,96 ,0.29 ,0.29 ,3.7,3.7 ,2.3 ,3.5 ,161   ,0  ,      
 ,J,Lascelles       ,NEW ,D,4.7,86 ,0.23 ,0.28 ,3.1,3.3 ,3.5 ,3.9 ,-1031 ,0  ,      
