I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
B,Davies,TOT,D,1.05,49,6,8.2,529,88.0,5.9,24.2
S,Ward,BUR,D,0.85,41,7,5.9,630,90.0,4.6,8.4
J,Fonte,WHU,D,0.78,29,5,5.8,433,86.0,4.9,2.1
M,Yoshida,SOU,D,0.76,35,6,5.8,540,90.0,5.0,3.1
P,Jones,MUN,D,0.75,41,7,5.9,630,90.0,5.2,8.9
F,Forster,SOU,G,0.74,40,7,5.7,630,90.0,5.0,8.6
N,Monreal,ARS,D,0.71,41,7,5.9,630,90.0,5.5,6.7
D,de Gea,MUN,G,0.71,42,7,6.0,630,90.0,5.6,37.2
A,Valencia,MUN,D,0.71,47,7,6.7,630,90.0,6.6,12.1
F,Kiko Femenía,WAT,D,0.71,31,6,5.2,493,82.0,4.5,4.9
E,Bailly,MUN,D,0.69,38,6,6.3,540,90.0,6.2,16.7
K,Trippier,TOT,D,0.69,34,6,5.7,453,75.0,5.4,4.4
A,Doucouré,WAT,M,0.64,38,7,5.4,630,90.0,5.3,12.4
S,Kolasinac,ARS,D,0.63,35,6,5.8,515,85.0,6.0,13.0
J,Lössl,HUD,G,0.63,34,7,4.9,630,90.0,4.6,8.9
N,Otamendi,MCI,D,0.63,39,7,5.6,610,87.0,5.7,14.9
J,Lascelles,NEW,D,0.62,34,7,4.9,623,89.0,4.7,11.1
R,Richarlison,WAT,M,0.61,40,7,5.7,570,81.0,6.1,6.8
L,Fabianski,SWA,G,0.6,33,7,4.7,630,90.0,4.5,7.9
S,Mustafi,ARS,D,0.59,26,5,5.2,450,90.0,5.4,1.8
C,Azpilicueta,CHE,D,0.59,41,7,5.9,630,90.0,6.6,14.6
C,Löwe,HUD,D,0.58,32,7,4.6,571,81.0,4.5,4.1
S,Agüero,MCI,F,0.58,52,6,8.7,466,77.0,11.5,7.7
K,Walker,MCI,D,0.58,35,6,5.8,493,82.0,6.5,14.0
C,Schindler,HUD,D,0.57,32,7,4.6,630,90.0,4.6,5.1
M,Zanka,HUD,D,0.57,32,7,4.6,630,90.0,4.6,8.7
A,Hegazi,WBA,D,0.55,33,7,4.7,596,85.0,4.9,26.0
