W,I,web_name  ,team,T,VA/M,VA/ML,p/g,p/gl,form,m% ,price,%   ,txn    ,gf ,120410
 ,S,Agüero    ,MCI ,F,0.38,0.38 ,6.3,6.3 ,3.0 ,76 ,11.4 ,40.0,-783642,-33,      
 ,A,Lacazette ,ARS ,F,0.33,0.42 ,5.2,6.0 ,3.0 ,75 ,9.6  ,8.9 ,-26034 ,-5 ,      
o,C,Wilson    ,BOU ,F,0.54,0.54 ,5.7,5.7 ,3.3 ,98 ,6.9  ,37.6,138754 ,6  ,      
 ,G,Murray    ,BHA ,F,0.34,0.48 ,4.3,5.2 ,3.7 ,80 ,6.7  ,6.0 ,-19851 ,-6 ,      
m,H,Kane      ,TOT ,F,0.26,0.26 ,5.2,5.2 ,5.7 ,99 ,12.4 ,26.3,231044 ,15 ,      
 ,J,King      ,BOU ,F,0.44,0.49 ,4.8,5.1 ,3.0 ,75 ,6.3  ,2.6 ,15091  ,10 ,      
 ,A,Mitrovic  ,FUL ,F,0.41,0.44 ,4.7,4.9 ,4.5 ,100,6.6  ,18.3,27108  ,3  ,      
o,M,Arnautovic,WHU ,F,0.4 ,0.4  ,4.9,4.9 ,3.0 ,77 ,7.2  ,23.0,96861  ,7  ,      
 ,S,Rondón    ,NEW ,F,0.19,0.46 ,3.1,4.6 ,5.3 ,45 ,5.7  ,1.5 ,-5217  ,-6 ,      
m,R,Jiménez   ,WOL ,F,0.42,0.42 ,4.5,4.5 ,4.3 ,92 ,6.0  ,14.8,-32846 ,-4 ,      
~,~,~~~~~~~~  ,~~~~,~,~~~~,~~~~~,~~~,4.5 ,~~~~,~~ ,~~~~~,~   ,~~~    ,~~ ,~~~~~~
m,P,Aubameyang,ARS ,F,0.41,0.22 ,6.5,4.4 ,8.7 ,82 ,11.1 ,23.0,440066 ,32 ,      
 ,R,Firmino   ,LIV ,F,0.21,0.25 ,3.9,4.3 ,5.3 ,86 ,9.2  ,16.8,-32942 ,-3 ,      
 ,M,Gabbiadini,SOU ,F,0.0 ,0.41 ,2.0,4.3 ,4.0 ,30 ,5.6  ,0.2 ,-602   ,-5 ,      
 ,R,Lukaku    ,MUN ,F,0.2 ,0.21 ,4.1,4.2 ,5.0 ,77 ,10.7 ,4.4 ,375    ,0  ,      
 ,D,Ings      ,SOU ,F,0.37,0.39 ,4.0,4.1 ,2.0 ,65 ,5.4  ,3.4 ,-24277 ,-12,      
 ,W,Zaha      ,CRY ,F,0.22,0.24 ,3.5,3.6 ,1.5 ,86 ,6.7  ,14.1,-16895 ,-2 ,      
 ,J,Vardy     ,LEI ,F,0.26,0.17 ,4.3,3.5 ,6.0 ,67 ,8.9  ,4.3 ,-2882  ,-1 ,      
 ,J,Chicharito,WHU ,F,0.19,0.24 ,3.2,3.5 ,5.0 ,34 ,6.2  ,1.8 ,41979  ,39 ,      
 ,T,Deeney    ,WAT ,F,0.19,0.22 ,3.1,3.3 ,1.3 ,71 ,5.9  ,2.5 ,-4461  ,-3 ,      
 ,A,Pérez     ,NEW ,F,0.1 ,0.05 ,2.6,2.3 ,2.0 ,82 ,6.1  ,1.2 ,-3670  ,-5 ,      
