W,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,m% ,price,%   ,txn    ,gf ,120410
 ,Y,Mina            ,EVE ,D,0.37 ,0.83 ,4.0,6.5 ,5.0 ,22 ,5.4  ,0.8 ,6558   ,14 ,      
m,T,Alexander-Arnold,LIV ,D,0.74 ,0.74 ,5.9,5.9 ,10.3,85 ,5.3  ,27.6,159184 ,10 ,      
 ,J,Foyth           ,TOT ,D,0.46 ,0.74 ,4.3,5.7 ,5.7 ,29 ,5.0  ,0.7 ,8129   ,20 ,      
o,A,Robertson       ,LIV ,D,0.69 ,0.69 ,6.5,6.5 ,8.3 ,93 ,6.5  ,32.9,-59641 ,-3 ,      
o,M,Alonso          ,CHE ,D,0.65 ,0.66 ,6.6,6.7 ,5.3 ,99 ,7.1  ,48.0,-8956  ,0  ,      
o,M,Keane           ,EVE ,D,0.58 ,0.64 ,4.9,5.2 ,5.7 ,86 ,5.0  ,4.5 ,26943  ,10 ,      
 ,K,Trippier        ,TOT ,D,0.56 ,0.62 ,5.4,5.8 ,0.3 ,72 ,6.1  ,19.7,-113742,-10,      
m,S,Kolasinac       ,ARS ,D,0.41 ,0.61 ,4.0,5.0 ,4.7 ,27 ,4.9  ,0.6 ,7441   ,21 ,      
 ,K,Walker          ,MCI ,D,0.54 ,0.54 ,5.5,5.5 ,2.7 ,79 ,6.5  ,14.0,-20423 ,-2 ,      
 ,R,Pereira         ,LEI ,D,0.59 ,0.51 ,5.0,4.6 ,6.7 ,84 ,5.1  ,6.6 ,36960  ,9  ,      
 ,J,Holebas         ,WAT ,D,0.45 ,0.51 ,4.1,4.4 ,3.0 ,78 ,4.7  ,11.1,-22720 ,-3 ,      
 ,J,Jonny           ,WOL ,D,0.41 ,0.5  ,3.8,4.2 ,0.7 ,80 ,4.4  ,1.7 ,-15510 ,-15,      
 ,J,Gomez           ,LIV ,D,0.45 ,0.49 ,4.3,4.5 ,3.3 ,81 ,5.1  ,3.9 ,2460   ,1  ,      
o,M,Doherty         ,WOL ,D,0.49 ,0.49 ,4.4,4.4 ,3.0 ,97 ,4.9  ,17.6,12559  ,1  ,      
m,A,Laporte         ,MCI ,D,0.44 ,0.48 ,4.7,4.9 ,3.3 ,100,6.1  ,16.7,20459  ,2  ,      
 ,A,Rüdiger         ,CHE ,D,0.43 ,0.42 ,4.6,4.5 ,3.5 ,98 ,6.0  ,5.3 ,5476   ,2  ,      
 ,F,Fernández       ,NEW ,D,0.34 ,0.41 ,3.5,3.8 ,3.3 ,79 ,4.4  ,0.5 ,82     ,0  ,      
 ,L,Dunk            ,BHA ,D,0.33 ,0.4  ,3.5,3.8 ,4.7 ,87 ,4.5  ,4.6 ,2092   ,1  ,      
 ,V,van Dijk        ,LIV ,D,0.48 ,0.4  ,4.9,4.4 ,8.3 ,97 ,6.0  ,18.5,50584  ,5  ,      
 ,L,Digne           ,EVE ,D,0.29 ,0.37 ,3.4,3.8 ,5.0 ,78 ,4.9  ,3.3 ,17581  ,9  ,      
 ,H,Maguire         ,LEI ,D,0.31 ,0.37 ,3.7,4.0 ,0.0 ,73 ,5.4  ,9.6 ,-26487 ,-5 ,      
 ,S,Duffy           ,BHA ,D,0.45 ,0.36 ,4.1,3.7 ,4.0 ,100,4.7  ,8.0 ,28613  ,6  ,      
 ,D,David Luiz      ,CHE ,D,0.37 ,0.36 ,4.1,4.0 ,4.5 ,100,5.6  ,6.2 ,4570   ,1  ,      
o,A,Wan-Bissaka     ,CRY ,D,0.4  ,0.36 ,3.7,3.5 ,3.8 ,92 ,4.2  ,28.3,53693  ,3  ,      
 ,C,Azpilicueta     ,CHE ,D,0.37 ,0.35 ,4.3,4.2 ,4.5 ,100,6.3  ,9.9 ,1557   ,0  ,      
 ,S,Coleman         ,EVE ,D,0.31 ,0.35 ,3.6,3.8 ,4.7 ,71 ,5.2  ,1.6 ,6250   ,7  ,      
m,C,Schindler       ,HUD ,D,0.3  ,0.35 ,3.3,3.5 ,5.5 ,98 ,4.3  ,2.9 ,8593   ,5  ,      
 ,J,Evans           ,LEI ,D,0.33 ,0.35 ,3.6,3.7 ,4.7 ,48 ,4.8  ,0.3 ,1251   ,7  ,      
 ,S,Steve Cook      ,BOU ,D,0.28 ,0.33 ,3.3,3.5 ,1.0 ,100,4.6  ,8.3 ,-980   ,0  ,      
 ,C,Clark           ,NEW ,D,0.33 ,0.33 ,3.5,3.5 ,4.0 ,47 ,4.5  ,0.2 ,-443   ,-4 ,      
 ,S,Bamba           ,CAR ,D,0.31 ,0.31 ,3.4,3.4 ,4.7 ,93 ,4.5  ,1.3 ,-465   ,-1 ,      
 ,P,van Aanholt     ,CRY ,D,0.35 ,0.3  ,3.9,3.6 ,4.0 ,100,5.4  ,4.0 ,5876   ,2  ,      
 ,W,Boly            ,WOL ,D,0.3  ,0.3  ,3.4,3.4 ,1.3 ,100,4.6  ,4.8 ,-15471 ,-5 ,      
 ,A,Adam Smith      ,BOU ,D,0.24 ,0.29 ,3.1,3.3 ,0.3 ,77 ,4.5  ,0.6 ,-3982  ,-11,      
 ,B,Chilwell        ,LEI ,D,0.33 ,0.29 ,3.7,3.5 ,4.7 ,100,5.2  ,3.6 ,6746   ,3  ,      
 ,P,Dummett         ,NEW ,D,0.27 ,0.27 ,3.2,3.2 ,0.7 ,71 ,4.4  ,0.2 ,-727   ,-6 ,      
~,~,~~~~~~~~        ,~~~~,~,~~~~ ,0.27 ,~~~,~~~~,~~~~,~~ ,~~~~~,~   ,~~~    ,~~ ,~~~~~~
 ,N,Aké             ,BOU ,D,0.22 ,0.26 ,3.1,3.3 ,0.7 ,100,5.0  ,4.8 ,-377   ,0  ,      
 ,T,Alderweireld    ,TOT ,D,0.25 ,0.25 ,3.5,3.5 ,3.0 ,85 ,5.9  ,3.0 ,5210   ,3  ,      
 ,H,Bellerín        ,ARS ,D,0.19 ,0.24 ,3.0,3.3 ,1.3 ,96 ,5.4  ,10.4,-6227  ,-1 ,      
 ,D,Yedlin          ,NEW ,D,0.18 ,0.24 ,2.8,3.1 ,1.3 ,92 ,4.5  ,1.5 ,-3607  ,-4 ,      
 ,S,Francis         ,BOU ,D,0.11 ,0.23 ,2.5,3.0 ,2.0 ,72 ,4.4  ,0.5 ,2951   ,10 ,      
 ,C,Cathcart        ,WAT ,D,0.2  ,0.22 ,2.9,3.0 ,1.3 ,99 ,4.5  ,1.0 ,-2262  ,-4 ,      
 ,C,Löwe            ,HUD ,D,0.16 ,0.2  ,2.7,2.9 ,2.5 ,73 ,4.4  ,0.1 ,-343   ,-6 ,      
 ,M,Sakho           ,CRY ,D,0.24 ,0.18 ,3.2,2.9 ,3.8 ,100,4.9  ,1.4 ,1391   ,2  ,      
 ,C,Smalling        ,MUN ,D,0.18 ,0.18 ,3.0,3.0 ,2.3 ,79 ,5.7  ,1.7 ,-9758  ,-10,      
 ,C,Cédric          ,SOU ,D,0.25 ,0.18 ,3.1,2.8 ,4.0 ,97 ,4.4  ,4.5 ,2767   ,1  ,      
 ,J,Tarkowski       ,BUR ,D,0.13 ,0.17 ,2.6,2.8 ,0.0 ,73 ,4.7  ,4.2 ,-7448  ,-3 ,      
 ,R,Bertrand        ,SOU ,D,0.17 ,0.17 ,2.8,2.8 ,0.3 ,86 ,4.8  ,3.1 ,-10185 ,-6 ,      
 ,R,Bennett         ,WOL ,D,0.17 ,0.17 ,2.7,2.7 ,1.0 ,93 ,4.2  ,11.1,-26929 ,-4 ,      
 ,F,Hadergjonaj     ,HUD ,D,0.09 ,0.16 ,2.4,2.7 ,3.8 ,74 ,4.4  ,0.1 ,-103   ,-2 ,      
 ,C,Coady           ,WOL ,D,0.16 ,0.16 ,2.7,2.7 ,1.3 ,100,4.5  ,0.6 ,-1318  ,-4 ,      
 ,J,Tomkins         ,CRY ,D,0.21 ,0.14 ,2.9,2.6 ,3.3 ,83 ,4.3  ,2.9 ,793    ,0  ,      
 ,M,Zanka           ,HUD ,D,0.23 ,0.14 ,3.0,2.6 ,4.0 ,85 ,4.4  ,3.0 ,-27    ,0  ,      
 ,L,Shaw            ,MUN ,D,0.12 ,0.14 ,2.6,2.7 ,0.3 ,84 ,5.0  ,5.6 ,-22510 ,-7 ,      
 ,S,Mustafi         ,ARS ,D,0.09 ,0.13 ,2.5,2.7 ,1.3 ,98 ,5.4  ,1.3 ,-1683  ,-2 ,      
 ,S,Morrison        ,CAR ,D,0.13 ,0.13 ,2.6,2.6 ,3.7 ,98 ,4.7  ,0.4 ,773    ,3  ,      
 ,B,Mee             ,BUR ,D,0.06 ,0.1  ,2.3,2.5 ,2.7 ,100,4.8  ,2.1 ,-6343  ,-5 ,      
 ,P,Zabaleta        ,WHU ,D,0.14 ,0.09 ,2.6,2.4 ,2.3 ,77 ,4.3  ,2.7 ,6868   ,4  ,      
 ,F,Balbuena        ,WHU ,D,0.14 ,0.09 ,2.6,2.4 ,2.7 ,100,4.4  ,1.1 ,7833   ,12 ,      
 ,G,Bong            ,BHA ,D,0.07 ,0.07 ,2.3,2.3 ,0.3 ,84 ,4.5  ,0.2 ,-408   ,-3 ,      
 ,T,Kongolo         ,HUD ,D,0.02 ,0.07 ,2.1,2.3 ,3.8 ,72 ,4.3  ,0.1 ,2      ,0  ,      
