W,I,web_name       ,team,T,VA/M ,VA/ML,p/g,p/gl,form,m% ,price,%   ,txn    ,gf ,120410
m,L,Sané           ,MCI ,M,0.45 ,0.87 ,6.2,10.2,8.3 ,54 ,9.4  ,10.0,126849 ,21 ,      
o,R,Sterling       ,MCI ,M,0.58 ,0.57 ,8.7,8.6 ,9.0 ,81 ,11.5 ,20.3,207545 ,17 ,      
 ,E,Hazard         ,CHE ,M,0.44 ,0.54 ,6.8,7.9 ,3.5 ,76 ,11.0 ,35.3,-90628 ,-4 ,      
 ,P,Pedro          ,CHE ,M,0.43 ,0.76 ,4.7,6.8 ,6.3 ,50 ,6.3  ,4.7 ,37578  ,14 ,      
 ,I,Cavaleiro      ,WOL ,M,0.17 ,0.87 ,2.9,6.5 ,4.3 ,21 ,5.2  ,0.2 ,-1718  ,-15,      
o,R,Richarlison    ,EVE ,M,0.47 ,0.63 ,5.3,6.4 ,2.7 ,81 ,7.0  ,31.0,50035  ,3  ,      
m,S,Mané           ,LIV ,M,0.43 ,0.45 ,6.2,6.4 ,5.0 ,91 ,9.8  ,31.3,-158635,-9 ,      
 ,M,Salah          ,LIV ,M,0.32 ,0.34 ,6.1,6.4 ,6.3 ,94 ,13.0 ,35.2,-43720 ,-2 ,      
 ,D,David Silva    ,MCI ,M,0.41 ,0.46 ,5.6,6.0 ,6.3 ,74 ,8.7  ,11.7,-1374  ,0  ,      
m,S,Armstrong      ,SOU ,M,0.2  ,0.78 ,3.0,6.0 ,7.7 ,31 ,5.1  ,0.5 ,17759  ,60 ,      
 ,G,Sigurdsson     ,EVE ,M,0.44 ,0.52 ,5.3,5.9 ,5.3 ,94 ,7.5  ,8.6 ,61013  ,12 ,      
 ,I,Gündogan       ,MCI ,M,0.59 ,0.7  ,5.2,5.8 ,6.3 ,42 ,5.4  ,2.3 ,35296  ,26 ,      
m,B,Alli           ,TOT ,M,0.25 ,0.43 ,4.2,5.8 ,5.7 ,50 ,8.9  ,3.3 ,16355  ,8  ,      
 ,X,Shaqiri        ,LIV ,M,0.27 ,0.53 ,3.9,5.7 ,4.3 ,36 ,7.0  ,2.8 ,-3241  ,-2 ,      
o,R,Fraser         ,BOU ,M,0.53 ,0.56 ,5.3,5.5 ,3.3 ,94 ,6.2  ,26.3,50195  ,3  ,      
 ,J,Gudmundsson    ,BUR ,M,0.42 ,0.53 ,4.5,5.1 ,1.7 ,78 ,5.9  ,2.7 ,-11011 ,-7 ,      
 ,B,Bernardo Silva ,MCI ,M,0.39 ,0.4  ,4.9,5.0 ,6.0 ,83 ,7.5  ,6.5 ,56473  ,15 ,      
 ,L,Lucas Moura    ,TOT ,M,0.34 ,0.39 ,4.4,4.7 ,1.3 ,80 ,7.0  ,10.1,-55671 ,-9 ,      
 ,R,Pereyra        ,WAT ,M,0.38 ,0.43 ,4.4,4.7 ,1.7 ,94 ,6.3  ,15.9,-103118,-11,      
 ,M,Özil           ,ARS ,M,0.32 ,0.32 ,4.6,4.6 ,0.3 ,65 ,8.2  ,3.7 ,-50531 ,-23,      
 ,J,Maddison       ,LEI ,M,0.32 ,0.37 ,4.2,4.5 ,2.0 ,79 ,6.8  ,5.6 ,22898  ,7  ,      
 ,C,Eriksen        ,TOT ,M,0.16 ,0.25 ,3.5,4.3 ,5.3 ,60 ,9.2  ,5.0 ,36060  ,12 ,      
o,H,Son            ,TOT ,M,0.14 ,0.27 ,3.2,4.2 ,4.7 ,38 ,8.3  ,2.6 ,47007  ,31 ,      
o,F,Felipe Anderson,WHU ,M,0.37 ,0.31 ,4.6,4.2 ,7.0 ,91 ,7.1  ,11.1,242080 ,37 ,      
 ,P,Pogba          ,MUN ,M,0.23 ,0.27 ,3.8,4.1 ,1.3 ,89 ,7.9  ,10.6,-28160 ,-4 ,      
 ,C,Paterson       ,CAR ,M,0.28 ,0.38 ,3.5,4.0 ,5.0 ,69 ,5.3  ,1.4 ,-4851  ,-6 ,      
 ,T,Walcott        ,EVE ,M,0.3  ,0.3  ,3.9,3.9 ,4.0 ,88 ,6.3  ,4.6 ,-1078  ,0  ,      
 ,A,Schürrle       ,FUL ,M,0.29 ,0.32 ,3.7,3.9 ,2.8 ,81 ,5.9  ,4.5 ,-29476 ,-11,      
~,~,~~~~~~~~       ,~~~~,~,~~~~ ,~~~~~,~~~,3.87,~~~~,~~ ,~~~~~,~   ,~~~    ,~~ ,~~~~~~
 ,D,Brooks         ,BOU ,M,0.29 ,0.35 ,3.5,3.8 ,2.7 ,72 ,5.2  ,3.3 ,18162  ,9  ,      
 ,A,Knockaert      ,BHA ,M,0.24 ,0.33 ,3.3,3.8 ,2.7 ,69 ,5.5  ,1.0 ,-4732  ,-8 ,      
 ,W,Willian        ,CHE ,M,0.26 ,0.22 ,3.9,3.6 ,1.8 ,67 ,7.4  ,5.8 ,-30689 ,-9 ,      
 ,R,Sessegnon      ,FUL ,M,0.15 ,0.25 ,2.9,3.5 ,3.5 ,83 ,6.0  ,2.6 ,235    ,0  ,      
 ,F,Fernandinho    ,MCI ,M,0.26 ,0.28 ,3.4,3.5 ,2.3 ,98 ,5.4  ,5.4 ,-4033  ,-1 ,      
 ,G,Wijnaldum      ,LIV ,M,0.22 ,0.25 ,3.2,3.4 ,3.0 ,93 ,5.5  ,1.4 ,228    ,0  ,      
 ,E,Capoue         ,WAT ,M,0.22 ,0.28 ,3.1,3.4 ,0.3 ,93 ,5.0  ,1.0 ,-20507 ,-35,      
m,A,Ramsey         ,ARS ,M,0.18 ,0.18 ,3.3,3.3 ,4.0 ,48 ,7.3  ,1.2 ,3751   ,5  ,      
 ,A,Doucouré       ,WAT ,M,0.2  ,0.22 ,3.2,3.3 ,2.0 ,100,5.9  ,1.4 ,-4972  ,-6 ,      
 ,G,Xhaka          ,ARS ,M,0.19 ,0.23 ,3.0,3.2 ,2.7 ,95 ,5.3  ,3.1 ,-21635 ,-12,      
 ,A,Gunnarsson     ,CAR ,M,0.27 ,0.27 ,3.2,3.2 ,4.7 ,40 ,4.4  ,0.7 ,14840  ,36 ,      
 ,J,Seri           ,FUL ,M,0.19 ,0.23 ,3.0,3.2 ,1.8 ,86 ,5.2  ,2.2 ,-3613  ,-3 ,      
 ,A,Mooy           ,HUD ,M,0.24 ,0.24 ,3.2,3.2 ,5.8 ,91 ,5.1  ,2.1 ,3327   ,3  ,      
 ,J,Moutinho       ,WOL ,M,0.19 ,0.22 ,3.0,3.2 ,1.7 ,93 ,5.4  ,2.8 ,-10225 ,-6 ,      
 ,A,Lennon         ,BUR ,M,0.16 ,0.2  ,2.8,3.0 ,2.0 ,86 ,5.0  ,0.9 ,-3771  ,-7 ,      
 ,R,Kenedy         ,NEW ,M,0.16 ,0.2  ,2.8,3.0 ,3.3 ,80 ,4.9  ,1.7 ,-3087  ,-3 ,      
 ,P,Højbjerg       ,SOU ,M,0.18 ,0.22 ,2.8,3.0 ,1.0 ,77 ,4.5  ,4.2 ,-8180  ,-3 ,      
 ,R,Neves          ,WOL ,M,0.2  ,0.2  ,3.0,3.0 ,1.3 ,100,5.0  ,14.8,-151082,-17,      
 ,S,March          ,BHA ,M,0.28 ,0.18 ,3.4,2.9 ,5.3 ,80 ,5.0  ,1.1 ,45089  ,69 ,      
 ,L,Milivojevic    ,CRY ,M,0.15 ,0.15 ,2.9,2.9 ,2.0 ,100,6.0  ,2.7 ,-1776  ,-1 ,      
 ,N,Kanté          ,CHE ,M,0.22 ,0.16 ,3.1,2.8 ,3.0 ,100,4.9  ,16.3,15044  ,2  ,      
 ,J,Jorginho       ,CHE ,M,0.16 ,0.16 ,2.8,2.8 ,2.0 ,96 ,4.9  ,8.3 ,-11899 ,-2 ,      
 ,E,Dier           ,TOT ,M,0.25 ,0.17 ,3.2,2.8 ,3.0 ,74 ,4.8  ,1.7 ,8675   ,9  ,      
 ,W,Hughes         ,WAT ,M,0.12 ,0.16 ,2.6,2.8 ,1.7 ,86 ,5.0  ,1.2 ,-4410  ,-6 ,      
 ,V,Camarasa       ,CAR ,M,0.15 ,0.15 ,2.7,2.7 ,1.7 ,90 ,4.6  ,1.7 ,-1472  ,-1 ,      
 ,A,Townsend       ,CRY ,M,0.25 ,0.11 ,3.4,2.6 ,6.5 ,97 ,5.7  ,2.0 ,51625  ,44 ,      
 ,J,Hogg           ,HUD ,M,0.11 ,0.14 ,2.5,2.6 ,3.8 ,68 ,4.4  ,0.5 ,1486   ,5  ,      
 ,W,Ndidi          ,LEI ,M,0.12 ,0.12 ,2.6,2.6 ,2.0 ,97 ,4.9  ,1.0 ,-2135  ,-4 ,      
 ,L,Torreira       ,ARS ,M,0.08 ,0.1  ,2.4,2.5 ,3.3 ,76 ,4.9  ,2.3 ,34009  ,25 ,      
 ,P,Billing        ,HUD ,M,0.11 ,0.11 ,2.5,2.5 ,2.5 ,97 ,4.5  ,2.3 ,3471   ,3  ,      
 ,N,Mendy          ,LEI ,M,0.13 ,0.11 ,2.6,2.5 ,2.7 ,86 ,4.5  ,1.2 ,3419   ,5  ,      
 ,M,Ritchie        ,NEW ,M,0.05 ,0.09 ,2.3,2.5 ,2.0 ,81 ,5.8  ,0.4 ,-2472  ,-10,      
 ,J,McArthur       ,CRY ,M,0.19 ,0.09 ,2.9,2.4 ,5.0 ,91 ,4.7  ,1.3 ,25327  ,33 ,      
 ,N,Redmond        ,SOU ,M,0.06 ,0.06 ,2.3,2.3 ,2.0 ,98 ,5.2  ,0.3 ,346    ,2  ,      
 ,M,Diamé          ,NEW ,M,0.02 ,0.04 ,2.1,2.2 ,2.0 ,98 ,4.9  ,0.1 ,-87    ,-1 ,      
 ,M,Lemina         ,SOU ,M,0.08 ,0.04 ,2.4,2.2 ,3.0 ,98 ,4.8  ,0.2 ,-320   ,-3 ,      
 ,H,Costa          ,WOL ,M,0.02 ,0.04 ,2.1,2.2 ,2.0 ,80 ,4.8  ,0.5 ,-1183  ,-4 ,      
 ,J,Lerma          ,BOU ,M,0.16 ,0.02 ,2.7,2.1 ,2.3 ,67 ,4.5  ,0.4 ,6      ,0  ,      
 ,I,Gueye          ,EVE ,M,0.02 ,0.02 ,2.1,2.1 ,2.7 ,92 ,4.8  ,0.3 ,131    ,1  ,      
 ,D,Pröpper        ,BHA ,M,0.0  ,0.0  ,2.0,2.0 ,1.3 ,69 ,4.8  ,0.1 ,24     ,0  ,      
 ,J,Cork           ,BUR ,M,0.0  ,0.0  ,2.0,2.0 ,2.3 ,91 ,4.6  ,0.4 ,-371   ,-2 ,      
 ,H,Arter          ,CAR ,M,-0.08,-0.06,1.6,1.7 ,1.3 ,71 ,4.9  ,0.2 ,-12    ,0  ,      
 ,J,Ralls          ,CAR ,M,-0.06,-0.06,1.7,1.7 ,2.0 ,74 ,4.7  ,0.1 ,-87    ,-1 ,      
 ,N,Matic          ,MUN ,M,-0.06,-0.06,1.7,1.7 ,2.3 ,76 ,5.0  ,0.6 ,-417   ,-1 ,      
