O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,031217
,B,Davies,TOT,D,0.54,0.64,5.2,5.8,4.3,1873,5.9,23.8,-9149,-1,
,K,Trippier,TOT,D,0.51,0.62,4.7,5.3,1.3,1470,5.3,4.6,-2025,-1,
,T,Alexander-Arnold,LIV,D,0.51,0.56,4.2,4.4,4.5,1148,4.3,3.9,3985,2,
,P,Jones,MUN,D,0.51,0.55,4.8,5.0,0.5,1793,5.5,6.5,-15365,-4,
,S,Ward,BUR,D,0.49,0.51,4.3,4.4,3.3,1740,4.7,7.1,2746,1,
,N,Monreal,ARS,D,0.53,0.49,4.9,4.7,0.0,1923,5.5,5.4,-8658,-3,
,V,Moses,CHE,D,0.38,0.48,4.5,5.1,3.8,1589,6.5,2.0,-2295,-2,
,M,van der Hoorn,SWA,D,0.41,0.48,3.8,4.1,5.7,1468,4.4,1.0,2617,4,
,A,Rüdiger,CHE,D,0.44,0.47,4.6,4.8,2.0,1796,5.9,3.4,-5606,-3,
,M,Lowton,BUR,D,0.48,0.45,4.1,4.0,5.0,1575,4.4,3.1,3925,2,
,A,Valencia,MUN,D,0.42,0.45,4.9,5.1,1.8,2291,6.9,11.3,-402,0,
x,M,Alonso,CHE,D,0.43,0.44,5.1,5.2,1.3,2413,7.2,19.4,-3461,0,
,N,Otamendi,MCI,D,0.42,0.44,4.7,4.8,4.0,2536,6.4,28.3,340,0,
,S,Aurier,TOT,D,0.49,0.44,4.9,4.6,8.7,1247,5.9,0.6,3826,11,
,C,Azpilicueta,CHE,D,0.42,0.43,4.9,5.0,3.5,2610,6.9,20.4,-2704,0,
,A,Robertson,LIV,D,0.39,0.43,3.9,4.1,4.8,1507,4.9,6.7,8750,2,
,S,Mustafi,ARS,D,0.41,0.41,4.2,4.2,4.7,1751,5.4,3.0,-97,0,
,S,Kolasinac,ARS,D,0.33,0.4,3.9,4.3,2.0,1746,5.8,6.3,-84,0,
,D,Lovren,LIV,D,0.26,0.4,3.4,4.1,2.3,1746,5.3,1.2,1659,2,
,J,Gomez,LIV,D,0.33,0.39,3.5,3.8,0.0,1631,4.6,3.5,-3446,-2,
,K,Walker,MCI,D,0.35,0.39,4.3,4.6,5.7,2410,6.6,12.7,2767,0,
,M,Yoshida,SOU,D,0.37,0.39,3.7,3.8,0.0,1534,4.6,1.6,-1066,-1,
,C,Smalling,MUN,D,0.33,0.37,3.8,4.0,3.3,1905,5.4,4.4,4304,2,
,F,Kiko Femenía,WAT,D,0.26,0.37,3.1,3.6,0.7,1309,4.3,1.3,-47,0,
,B,Bruno,BHA,D,0.24,0.36,3.1,3.6,0.3,1656,4.5,0.9,-624,-1,
x,J,Lascelles,NEW,D,0.38,0.36,3.8,3.7,3.8,2207,4.7,8.2,5496,1,
,L,Koscielny,ARS,D,0.35,0.35,4.1,4.1,0.7,2135,6.0,1.9,-215,0,
,J,Vertonghen,TOT,D,0.3,0.32,3.8,3.9,3.3,2579,6.0,8.5,1567,0,
