O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,031217
x,M,Salah,LIV,M,0.58,0.64,8.2,8.8,8.3,2289,10.6,61.1,9714,0,
,R,Sterling,MCI,M,0.56,0.65,6.8,7.6,1.3,1963,8.6,17.7,-33168,-3,
,E,Hazard,CHE,M,0.35,0.45,5.7,6.8,6.8,1856,10.6,7.4,-6815,-2,
,A,Pritchard,HUD,M,0.37,0.8,4.0,6.3,5.5,359,5.4,0.2,815,7,
x,H,Son,TOT,M,0.41,0.53,5.3,6.3,10.7,1859,8.1,13.0,42094,6,
,K,De Bruyne,MCI,M,0.38,0.4,6.0,6.2,2.3,2537,10.4,25.0,-1053,0,
,L,Sané,MCI,M,0.4,0.49,5.4,6.2,5.7,1768,8.6,12.9,4511,1,
,A,Ramsey,ARS,M,0.52,0.59,5.6,6.1,0.7,1466,6.9,3.9,-5786,-3,
x,R,Mahrez,LEI,M,0.43,0.44,5.8,5.9,7.7,2234,8.8,9.7,19014,3,
,D,David Silva,MCI,M,0.44,0.49,5.5,5.9,7.7,1956,8.0,8.9,3152,1,
,W,Willian,CHE,M,0.29,0.53,4.0,5.7,5.5,1488,7.0,11.3,23681,4,
,S,Mané,LIV,M,0.33,0.38,5.1,5.6,6.3,1659,9.4,9.9,19430,3,
,P,Pogba,MUN,M,0.42,0.45,5.3,5.5,2.3,1554,7.8,11.0,-13770,-2,
,A,Martial,MUN,M,0.32,0.43,4.5,5.4,1.8,1334,7.9,2.7,-5477,-3,
,C,Eriksen,TOT,M,0.35,0.35,5.3,5.3,4.7,2498,9.4,15.1,-9966,-1,
,M,Arnautovic,WHU,M,0.29,0.46,4.0,5.2,1.7,1612,7.0,4.7,-14055,-5,
,A,Sánchez,MUN,M,0.22,0.26,4.6,5.0,2.8,2031,11.6,3.0,-4458,-3,
,H,Mkhitaryan,ARS,M,0.3,0.38,4.3,4.9,5.7,1353,7.7,11.2,5241,1,
,P,Groß,BHA,M,0.42,0.48,4.5,4.9,4.3,2325,6.0,17.8,-9391,-1,
x,J,Lingard,MUN,M,0.35,0.48,4.1,4.9,2.8,1383,6.0,10.4,-17874,-3,
x,X,Shaqiri,STK,M,0.38,0.43,4.4,4.7,4.3,2290,6.3,13.5,18096,2,
,B,Alli,TOT,M,0.31,0.3,4.8,4.7,6.3,2442,8.9,12.1,-3678,-1,
,B,Bernardo Silva,MCI,M,0.15,0.35,3.1,4.6,6.3,1124,7.5,2.0,599,1,
,J,Mata,MUN,M,0.24,0.38,3.6,4.6,1.0,1559,6.8,2.1,39,0,
,J,Ward-Prowse,SOU,M,0.22,0.51,3.1,4.6,1.5,1434,5.1,2.8,-5895,-4,
,A,King,SWA,M,0.1,0.62,2.4,4.6,3.3,704,4.2,3.5,-813,0,
,M,Özil,ARS,M,0.24,0.26,4.2,4.4,3.3,2071,9.3,2.2,200,0,
,J,Izquierdo,BHA,M,0.17,0.41,3.0,4.4,3.3,1381,5.9,0.4,-440,-2,
,R,Fraser,BOU,M,0.31,0.45,3.6,4.3,1.8,1373,5.1,0.9,-1178,-2,
,A,Chamberlain,LIV,M,0.13,0.39,2.7,4.2,3.5,1537,5.6,3.1,-282,0,
,A,Doucouré,WAT,M,0.38,0.4,4.1,4.2,2.7,2610,5.5,15.4,-4146,0,
,M,Lanzini,WHU,M,0.26,0.33,3.7,4.2,1.3,1686,6.6,0.8,-450,-1,
,E,Can,LIV,M,0.33,0.41,3.6,4.0,5.0,2063,4.9,6.8,-536,0,
,S,Ki Sung-yueng,SWA,M,0.28,0.4,3.4,4.0,6.0,1430,5.0,1.7,-88,0,
,A,Surman,BOU,M,0.39,0.43,3.7,3.9,0.3,1543,4.4,3.6,-484,0,
,R,Richarlison,WAT,M,0.3,0.32,3.8,3.9,1.3,2482,6.0,8.3,-2516,-1,
,G,Sigurdsson,EVE,M,0.2,0.22,3.6,3.8,2.3,2257,8.0,2.7,17,0,
,A,Young,MUN,M,0.33,0.37,3.6,3.8,2.0,1950,4.9,1.9,-262,0,
,S,Davis,SOU,M,0.26,0.38,3.2,3.8,0.3,1483,4.7,1.6,-1103,-1,
,E,Choupo-Moting,STK,M,0.26,0.33,3.4,3.8,2.0,2190,5.4,3.4,205,0,
,J,Stanislas,BOU,M,0.31,0.29,3.8,3.7,4.5,1150,5.9,0.9,8480,16,
,L,Milivojevic,CRY,M,0.29,0.35,3.4,3.7,2.0,2359,4.9,7.3,2512,1,
,M,Albrighton,LEI,M,0.25,0.3,3.4,3.7,3.7,2220,5.6,3.4,-1914,-1,
~,~,~~~~~~~~,~~~~,~,~~~~,~~~~~,~~~,3.69,~~~~,~~~,~~~~~,~,~~~,~~,~~~~~~
,S,Arfield,BUR,M,0.22,0.33,3.1,3.6,0.0,1330,4.9,0.2,-181,-2,
,T,Bakayoko,CHE,M,0.14,0.33,2.7,3.6,0.3,1761,4.9,1.3,-484,-1,
,W,Zaha,CRY,M,0.24,0.24,3.6,3.6,1.3,1831,6.8,4.0,10528,5,
,A,Mooy,HUD,M,0.28,0.3,3.5,3.6,2.5,2346,5.3,5.2,7212,2,
,C,Atsu,NEW,M,0.19,0.33,2.9,3.6,1.3,1727,4.8,1.6,-1134,-1,
,A,André Ayew,SWA,M,0.1,0.24,2.7,3.6,4.0,1120,6.8,1.0,-254,0,
,R,Loftus-Cheek,CRY,M,0.3,0.34,3.3,3.5,0.0,1329,4.4,3.3,-1278,-1,
,D,Gray,LEI,M,0.06,0.28,2.3,3.5,1.3,1308,5.3,0.6,-203,-1,
,M,Ritchie,NEW,M,0.28,0.28,3.5,3.5,5.0,2195,5.4,1.9,1050,1,
,A,Knockaert,BHA,M,0.15,0.25,2.8,3.4,3.3,1920,5.5,0.6,-714,-2,
,A,Townsend,CRY,M,0.23,0.25,3.3,3.4,3.7,2414,5.6,1.3,3097,4,
,F,Fernandinho,MCI,M,0.26,0.28,3.3,3.4,0.3,2296,5.0,4.6,-4360,-2,
,R,Kenedy,NEW,M,0.74,0.3,5.5,3.4,6.0,440,4.7,0.9,9301,18,
,J,Gudmundsson,BUR,M,0.25,0.25,3.3,3.3,4.3,2304,5.1,1.6,506,1,
,J,Allen,STK,M,0.24,0.25,3.2,3.3,2.7,2458,5.1,1.9,-64,0,
,M,Antonio,WHU,M,0.14,0.18,3.0,3.3,4.7,1342,7.4,0.3,-221,-1,
,S,Clucas,SWA,M,0.15,0.26,2.7,3.2,2.3,1667,4.7,0.6,-1199,-3,
,C,Fàbregas,CHE,M,0.09,0.16,2.6,3.1,2.3,1770,6.8,3.0,-174,0,
