I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
A,Robertson,LIV,D,1.43,9,1,9.0,90,90.0,4.9,1.9
J,Gámez,NEW,D,1.5,8,1,8.0,90,90.0,4.0,1.9
B,Davies,TOT,D,1.05,32,4,8.0,349,87.0,5.7,15.3
P,Pogba,MUN,M,0.7,31,4,7.8,360,90.0,8.3,38.4
J,Lössl,HUD,G,1.24,23,3,7.7,270,90.0,4.6,8.4
C,Eriksen,TOT,M,0.57,30,4,7.5,337,84.0,9.7,24.1
Á,Morata,CHE,F,0.54,30,4,7.5,276,69.0,10.1,16.6
C,Wood,BUR,F,0.85,15,2,7.5,123,61.0,6.5,0.9
M,Zanka,HUD,D,1.15,22,3,7.3,270,90.0,4.6,10.4
C,Schindler,HUD,D,1.09,21,3,7.0,270,90.0,4.6,4.5
R,Firmino,LIV,F,0.58,28,4,7.0,314,78.0,8.6,30.6
H,Mkhitaryan,MUN,M,0.6,28,4,7.0,327,81.0,8.3,23.2
M,van der Hoorn,SWA,D,1.11,7,1,7.0,69,69.0,4.5,0.1
F,Kiko Femenía,WAT,D,1.11,28,4,7.0,313,78.0,4.5,1.4
S,Okaka,WAT,F,0.91,7,1,7.0,62,62.0,5.5,0.7
E,Bailly,MUN,D,0.77,27,4,6.8,360,90.0,6.2,16.6
A,Doucouré,WAT,M,0.88,26,4,6.5,360,90.0,5.1,6.7
D,Welbeck,ARS,F,0.57,25,4,6.3,328,82.0,7.5,1.9
P,Groß,BHA,M,0.8,25,4,6.3,331,82.0,5.4,1.5
A,Mooy,HUD,M,0.75,19,3,6.3,270,90.0,5.7,12.9
R,Lukaku,MUN,F,0.37,25,4,6.3,360,90.0,11.7,57.5
A,Hegazi,WBA,D,0.88,25,4,6.3,326,81.0,4.9,28.7
S,Kolasinac,ARS,D,0.67,18,3,6.0,245,81.0,6.0,10.6
M,Alonso,CHE,D,0.56,24,4,6.0,360,90.0,7.1,21.3
C,Löwe,HUD,D,0.89,18,3,6.0,270,90.0,4.5,1.4
J,Vardy,LEI,F,0.47,24,4,6.0,345,86.0,8.5,10.7
L,Karius,LIV,G,0.82,6,1,6.0,90,90.0,4.9,0.2
M,Salah,LIV,M,0.44,24,4,6.0,249,62.0,9.1,29.8
D,Blind,MUN,D,0.73,18,3,6.0,270,90.0,5.5,3.3
C,Clark,NEW,D,0.89,24,4,6.0,360,90.0,4.5,2.1
S,Prödl,WAT,D,0.89,12,2,6.0,180,90.0,4.5,0.5
A,Nyom,WBA,D,0.8,24,4,6.0,360,90.0,5.0,3.6
K,Walker-Peters,TOT,D,0.91,6,1,6.0,90,90.0,4.4,1.5
G,Jesus,MCI,F,0.37,23,4,5.8,259,64.0,10.4,8.8
J,Lascelles,NEW,D,0.84,23,4,5.8,353,88.0,4.5,1.5
J,Gomez,LIV,D,0.82,17,3,5.7,181,60.0,4.5,2.1
M,Yoshida,SOU,D,0.74,17,3,5.7,270,90.0,5.0,2.6
B,Alli,TOT,M,0.37,22,4,5.5,351,87.0,9.5,34.5
B,Mendy,MCI,D,0.54,11,2,5.5,180,90.0,6.5,0.9
S,Agüero,MCI,F,0.29,21,4,5.3,286,71.0,11.4,9.9
D,de Gea,MUN,G,0.6,21,4,5.3,360,90.0,5.5,34.7
A,Valencia,MUN,D,0.51,21,4,5.3,360,90.0,6.5,9.7
F,Forster,SOU,G,0.66,21,4,5.3,360,90.0,5.0,8.0
H,Gomes,WAT,G,0.73,21,4,5.3,360,90.0,4.5,2.1
J,Holebas,WAT,D,0.66,16,3,5.3,270,90.0,5.0,0.7
J,Chicharito,WHU,F,0.46,16,3,5.3,270,90.0,7.1,27.7
E,Choupo-Moting,STK,M,0.6,21,4,5.3,288,72.0,5.5,1.6
R,Richarlison,WAT,M,0.55,21,4,5.3,300,75.0,6.0,4.9
M,Elneny,ARS,M,0.67,5,1,5.0,66,66.0,4.5,3.4
S,Mounie,HUD,F,0.49,15,3,5.0,265,88.0,6.1,4.5
H,Maguire,LEI,D,0.59,20,4,5.0,360,90.0,5.1,6.7
R,Mahrez,LEI,M,0.35,20,4,5.0,360,90.0,8.5,5.1
S,Mané,LIV,M,0.31,20,4,5.0,289,72.0,9.6,24.3
P,Jones,MUN,D,0.59,20,4,5.0,360,90.0,5.1,6.3
M,Rashford,MUN,F,0.4,20,4,5.0,247,61.0,7.5,5.9
K,Naughton,SWA,D,0.67,20,4,5.0,357,89.0,4.5,4.8
S,Ward,BUR,D,0.62,19,4,4.8,360,90.0,4.5,4.4
C,Azpilicueta,CHE,D,0.43,19,4,4.8,360,90.0,6.5,9.5
W,Rooney,EVE,F,0.37,19,4,4.8,359,89.0,7.6,18.6
K,Schmeichel,LEI,G,0.56,19,4,4.8,360,90.0,5.0,4.1
D,David Silva,MCI,M,0.35,19,4,4.8,360,90.0,8.1,10.1
R,Elliot,NEW,G,0.7,19,4,4.8,360,90.0,4.0,20.8
J,Butland,STK,G,0.56,19,4,4.8,360,90.0,5.0,3.9
T,Smith,HUD,D,0.54,14,3,4.7,236,78.0,5.0,0.5
